Interval [start=0, end=149]
4.3036003 : 1.5743314
4.3072004 : 1.5743314
4.3108006 : 1.5743314
4.3144007 : 1.5743314
4.318001 : 1.5743314
4.321601 : 1.5743314
4.325201 : 1.5743314
4.328801 : 1.5743314
4.3324013 : 1.5743314
4.3360014 : 1.5743314
4.3396015 : 1.5743314
4.3432016 : 1.5743314
4.3468018 : 1.5743314
4.350402 : 1.5743314
4.354002 : 1.5743314
4.357602 : 1.5743314
4.3612022 : 1.5743314
4.3648024 : 1.5743314
4.3684025 : 1.5743314
4.3720026 : 1.5743314
4.3756027 : 1.5743314
4.379203 : 1.5743314
4.382803 : 1.5743314
4.386403 : 1.5743314
4.390003 : 1.5743314
4.3936033 : 1.5743314
4.3972034 : 1.5743314
4.4008036 : 1.5416329
4.4044037 : 1.5416329
4.408004 : 1.5416329
4.411604 : 1.5416329
4.415204 : 1.5416329
4.418804 : 1.5416329
4.4224043 : 1.5416329
4.4260044 : 1.5416329
4.4296045 : 1.5416329
4.4332047 : 1.5416329
4.436805 : 1.5416329
4.440405 : 1.5416329
4.444005 : 1.5416329
4.447605 : 1.5416329
4.4512053 : 1.5416329
4.4548054 : 1.5416329
4.4584055 : 1.5416329
4.4620056 : 1.5416329
4.4656057 : 1.5416329
4.469206 : 1.5416329
4.472806 : 1.5416329
4.476406 : 1.5416329
4.480006 : 1.5416329
4.4836063 : 1.5416329
4.4872065 : 1.5416329
4.4908066 : 1.5416329
4.4944067 : 1.5416329
4.498007 : 1.5416329
4.501607 : 1.530452
4.505207 : 1.530452
4.508807 : 1.530452
4.5124073 : 1.530452
4.5160074 : 1.530452
4.5196075 : 1.530452
4.5232077 : 1.530452
4.526808 : 1.530452
4.530408 : 1.530452
4.534008 : 1.530452
4.537608 : 1.530452
4.5412083 : 1.530452
4.5448084 : 1.530452
4.5484085 : 1.530452
4.5520086 : 1.530452
4.5556087 : 1.530452
4.559209 : 1.530452
4.562809 : 1.530452
4.566409 : 1.530452
4.570009 : 1.530452
4.5736094 : 1.530452
4.5772095 : 1.530452
4.5808096 : 1.530452
4.5844097 : 1.530452
4.58801 : 1.530452
4.59161 : 1.530452
4.59521 : 1.530452
4.59881 : 1.530452
4.6024103 : 1.4842099
4.6060104 : 1.4842099
4.6096106 : 1.4842099
4.6132107 : 1.4842099
4.616811 : 1.4842099
4.620411 : 1.4842099
4.624011 : 1.4842099
4.627611 : 1.4842099
4.6312113 : 1.4842099
4.6348114 : 1.4842099
4.6384115 : 1.4842099
4.6420116 : 1.4842099
4.645612 : 1.4842099
4.649212 : 1.4842099
4.652812 : 1.4842099
4.656412 : 1.4842099
4.6600122 : 1.4842099
4.6636124 : 1.4842099
4.6672125 : 1.4842099
4.6708126 : 1.4842099
4.6744127 : 1.4842099
4.678013 : 1.4842099
4.681613 : 1.4842099
4.685213 : 1.4842099
4.688813 : 1.4842099
4.6924133 : 1.4842099
4.6960135 : 1.4842099
4.6996136 : 1.4842099
4.7032137 : 1.46011
4.706814 : 1.46011
4.710414 : 1.46011
4.714014 : 1.46011
4.717614 : 1.46011
4.7212143 : 1.46011
4.7248144 : 1.46011
4.7284145 : 1.46011
4.7320147 : 1.46011
4.735615 : 1.46011
4.739215 : 1.46011
4.742815 : 1.46011
4.746415 : 1.46011
4.7500153 : 1.46011
4.7536154 : 1.46011
4.7572155 : 1.46011
4.7608156 : 1.46011
4.7644157 : 1.46011
4.768016 : 1.46011
4.771616 : 1.46011
4.775216 : 1.46011
4.778816 : 1.46011
4.7824163 : 1.46011
4.7860165 : 1.46011
4.7896166 : 1.46011
4.7932167 : 1.46011
4.796817 : 1.46011
4.800417 : 1.3966439
4.804017 : 1.3966439
4.807617 : 1.3966439
4.8112173 : 1.3966439
4.8148174 : 1.3966439
4.8184175 : 1.3966439
4.8220177 : 1.3966439
4.825618 : 1.3966439
4.829218 : 1.3966439
4.832818 : 1.3966439
4.836418 : 1.3966439
4.8400183 : 1.3966439
4.8436184 : 1.3966439
4.8472185 : 1.3966439
4.8508186 : 1.3966439
4.8544188 : 1.3966439
4.858019 : 1.3966439
4.861619 : 1.3966439
4.865219 : 1.3966439
4.868819 : 1.3966439
4.8724194 : 1.3966439
4.8760195 : 1.3966439
4.8796196 : 1.3966439
4.8832197 : 1.3966439
4.88682 : 1.3966439
4.89042 : 1.3966439
4.89402 : 1.3966439
4.89762 : 1.3966439
4.9012203 : 1.401471
4.9048204 : 1.401471
4.9084206 : 1.401471
4.9120207 : 1.401471
4.915621 : 1.401471
4.919221 : 1.401471
4.922821 : 1.401471
4.926421 : 1.401471
4.9300213 : 1.401471
4.9336214 : 1.401471
4.9372215 : 1.401471
4.9408216 : 1.401471
4.944422 : 1.401471
4.948022 : 1.401471
4.951622 : 1.401471
4.955222 : 1.401471
4.9588223 : 1.401471
4.9624224 : 1.401471
4.9660225 : 1.401471
4.9696226 : 1.401471
4.9732227 : 1.401471
4.976823 : 1.401471
4.980423 : 1.401471
4.984023 : 1.401471
4.987623 : 1.401471
4.9912233 : 1.401471
4.9948235 : 1.401471
4.9984236 : 1.401471
5.0020237 : 1.3233141
5.005624 : 1.3233141
5.009224 : 1.3233141
5.012824 : 1.3233141
5.016424 : 1.3233141
5.0200243 : 1.3233141
5.0236244 : 1.3233141
5.0272245 : 1.3233141
5.0308247 : 1.3233141
5.034425 : 1.3233141
5.038025 : 1.3233141
5.041625 : 1.3233141
5.045225 : 1.3233141
